AgentID,X,Y,Type,Status,PopDensity,TempC,Rain_mm
8b77e513-848b-4dbb-844d-73d917c7c881,38.295240,8.635679,ADULT,true,2.94,25.00,0.0000
216eecc4-ecc2-48aa-b30e-829d8fb6b18c,38.357159,8.644935,ADULT,true,1.53,25.00,0.0000
641f7056-748e-457d-af41-df8e96332714,38.311336,8.592632,ADULT,true,1.06,25.00,0.0000
ef30597f-b762-4485-96de-055d57033d61,38.318761,8.626568,ADULT,true,3.03,25.00,0.0000
947604f1-2ac2-4197-848a-baa6971335db,38.315060,8.600466,ADULT,true,1.55,25.00,0.0000
c45a3a91-3bb6-4078-94d8-c4e494f73e1a,38.317927,8.626663,ADULT,true,3.13,25.00,0.0000
8fdc17ab-f233-4c29-b5e4-64db2b466e8c,38.352286,8.584201,ADULT,true,4.91,25.00,0.0000
a4cf628e-2742-46b6-b559-e15c1b4aafae,38.299592,8.577055,ADULT,true,1.35,25.00,0.0000
d1f547ec-4cf5-4cdd-8085-b3e75ef46691,38.292405,8.629970,ADULT,true,3.66,25.00,0.0000
d60c8d95-4830-4e90-bd88-9344caab3db4,38.379497,8.669794,ADULT,true,1.00,25.00,0.0000
ff9adf2e-4fb1-41f7-9373-9f7ee16615f2,38.349694,8.653559,ADULT,true,2.68,25.00,0.0000
ad88e10f-a451-4212-bcb3-18df6f77aaad,38.367435,8.647680,ADULT,true,1.35,25.00,0.0000
b582b0eb-77f3-49da-8b7b-57e9bb6d5de7,38.355162,8.611959,ADULT,true,4.19,25.00,0.0000
371b8cda-87a2-4398-81d1-050e9e470c8e,38.354029,8.597828,ADULT,true,2.78,25.00,0.0000
86097796-e999-4b41-9d3e-7eedd24298fb,38.313771,8.646223,ADULT,true,2.00,25.00,0.0000
ceebec7b-b6d8-4ed2-b50e-65dbe76d0e6c,38.291300,8.656629,ADULT,true,2.93,25.00,0.0000
89b964bd-813c-4954-b03e-a9e99662e7f7,38.344514,8.601868,ADULT,true,10.46,25.00,0.0000
5ece6ccc-ce14-4f8b-9801-78da825281d2,38.310762,8.670931,ADULT,true,2.46,25.00,0.0000
c8a417fb-6fd1-4307-8f5a-103a88bb648e,38.369685,8.630291,ADULT,true,1.88,25.00,0.0000
b4f551d1-c9f2-47ed-992e-f9656d6f187a,38.379089,8.611291,ADULT,true,1.01,25.00,0.0000
a5807a43-bee4-4e00-9a5e-cea6e7f4f81f,38.324915,8.628201,ADULT,true,2.99,25.00,0.0000
5f2596b3-8da1-4f7f-a79d-49669c397511,38.307261,8.582028,ADULT,true,0.90,25.00,0.0000
acb77d82-5ac5-4c09-8a18-f37865effe5b,38.281714,8.641294,ADULT,true,7.53,25.00,0.0000
ca396ee4-a5e4-4d3d-ac4d-6ec02d079d47,38.319222,8.650471,ADULT,true,2.44,25.00,0.0000
fc72abbf-c941-4dc8-8974-0e13723bd8ea,38.341622,8.614032,ADULT,true,26.51,25.00,0.0000
255e3063-b539-4dbf-b218-29c92da78be3,38.338755,8.606682,ADULT,true,14.07,25.00,0.0000
bc265671-f75f-4434-80da-e4298855c62c,38.331635,8.667490,ADULT,true,4.92,25.00,0.0000
2b9cda59-d9d4-491b-b80b-583e0b365cae,38.310579,8.583114,ADULT,true,0.87,25.00,0.0000
4192d21b-4e1e-4c8f-9637-1bc8d1e4d328,38.286449,8.657892,ADULT,true,2.66,25.00,0.0000
039fb82d-9ff6-45e9-af7b-1f8e07cb3c43,38.356612,8.670042,ADULT,true,1.90,25.00,0.0000
