AgentID,Layer,AgentType,X,Y,Alive,Age,Stage,Energy,Gravid,Elevation,Buildings,Population,tp,t2m,Nearby_Mosquitoes,Nearby_WaterTanks
1aa2ae2b-6fb4-450c-afb8-75e0368cebfb,Mosquitoes,LivingAgent,38.280436,8.644294,true,826,ADULT,0.888,true,2482.0000,0.0000,7.50,0.4088,21.85,4,0
9130526d-6b1e-4018-a573-32bd542e954d,Mosquitoes,LivingAgent,38.360922,8.579047,true,676,ADULT,0.931,true,2316.0000,0.0000,6.41,0.2944,20.49,4,0
9d8b9960-9140-45d4-82cd-ef721d5eeb51,Mosquitoes,LivingAgent,38.346246,8.669628,true,666,ADULT,0.791,false,2648.0000,0.0000,10.43,0.3965,22.01,4,0
274c80b5-ff3c-4639-b5ee-a556623a8beb,Mosquitoes,LivingAgent,38.292527,8.641485,true,746,ADULT,0.620,false,2447.0000,0.0000,2.93,0.4092,21.71,6,0
690d464f-b8d1-4a05-9af5-c2dc42c547af,Mosquitoes,LivingAgent,38.369666,8.663832,true,752,ADULT,0.549,false,2502.0000,0.0000,1.12,0.3965,21.85,5,0
bd862fe6-a4d3-4417-8da1-26ed007a7163,Mosquitoes,LivingAgent,38.362178,8.576594,true,492,ADULT,0.926,false,2346.0000,0.0000,7.47,0.2944,20.34,5,0
e3c20f68-d056-4c66-afc6-961a2945d813,Mosquitoes,LivingAgent,38.284714,8.668589,true,345,ADULT,0.734,false,2557.0000,0.0000,2.17,0.4092,21.71,4,0
49bf57e2-4eb9-459c-9c7e-0a2f6905dafe,Mosquitoes,LivingAgent,38.351811,8.640459,true,604,ADULT,0.584,false,2497.0000,0.0000,5.34,0.3965,21.69,6,0
4beff6ac-7a6e-4d1f-adf4-8f0991e44de4,Mosquitoes,LivingAgent,38.350348,8.657116,true,532,ADULT,0.808,true,2498.0000,0.0000,3.06,0.3965,21.69,3,0
61b4079e-ace6-4145-82ff-d1a7a26575a2,Mosquitoes,LivingAgent,38.292375,8.675176,true,655,ADULT,0.532,false,2480.0000,0.0000,2.93,0.4097,21.56,5,0
9809d09a-89c2-4e79-bc3f-a951997b3412,Mosquitoes,LivingAgent,38.290927,8.611118,true,682,ADULT,0.683,true,2568.0000,0.0000,2.80,0.3272,21.16,5,0
06cd7fd2-b68a-41f5-9f29-a33daa76d9af,Mosquitoes,LivingAgent,38.368561,8.618000,true,457,ADULT,0.702,false,2219.0000,0.0000,1.93,0.2944,20.19,8,0
2677ea88-3248-4b35-b13b-f826961bb134,Mosquitoes,LivingAgent,38.287675,8.611987,true,676,ADULT,0.584,false,2588.0000,4.0000,3.12,0.3272,21.02,6,0
5dcce948-929a-4f82-b6e3-34b483b48790,Mosquitoes,LivingAgent,38.370174,8.602704,true,602,ADULT,0.858,false,2001.0000,0.0000,2.08,0.2944,20.04,2,0
