TickCount,AgentID,Layer,AgentType,X,Y,Alive,Age,Stage,Energy,Gravid,EggCount,LarvaCount,waterVolume,Resting,RestingDuration,TimeWithoutRest,Elevation,Buildings,Population,tp,t2m,Day
200,fcfb86af-2f0f-42df-8e44-2424dd90a312,Mosquitoes,LivingAgent,9.61819,41.836023,1,353,LARVA,0.808,0,0,0,0.0,0,0,0,1947.3156,0.4615,0.44,0.286,25.16,2.0833333333333335
600,18d94678-4079-4855-bed8-2834277b4fbf,Mosquitoes,LivingAgent,9.59666,41.858299,1,1171,ADULT,0.582,0,0,0,0.0,0,0,0,1845.3547,0.8189,0.71,0.0,31.08,6.25
200,97a74525-42b5-4d28-9433-9df5263b612b,Mosquitoes,LivingAgent,9.575303,41.864436,1,1813,ADULT,0.615,1,0,0,0.0,1,1,0,2439.0693,0.3209,0.33,0.2772,24.58,2.0833333333333335
400,804be51d-8bce-4ea6-89e8-a7f5aa90ab98,Mosquitoes,LivingAgent,9.596031,41.841489,1,412,LARVA,0.746,0,0,0,0.0,0,0,0,2373.6636,0.6055,0.66,0.0,27.11,4.166666666666667
200,6254d9f6-88f8-41b6-90ee-efbac1b036db,Mosquitoes,LivingAgent,9.625711,41.837712,1,1701,ADULT,0.738,0,0,0,0.0,1,0,0,1587.1308,0.3771,0.29,0.286,24.62,2.0833333333333335
400,265d0900-4bb2-48fb-b196-5cea1a3ac0ff,Mosquitoes,LivingAgent,9.604805,41.842214,1,332,ADULT,0.307,0,0,0,0.0,1,0,0,2463.5431,0.68,0.55,0.0,25.84,4.166666666666667
200,b9e02558-42f4-4976-a228-a41de4e40395,Mosquitoes,LivingAgent,9.595469,41.867899,1,835,ADULT,0.4,0,0,0,0.0,0,5,2,1657.306,0.6744,0.55,0.2595,24.51,2.0833333333333335
100,ea7592b4-3b3e-4819-806c-747774650a98,Mosquitoes,LivingAgent,9.612905,41.844434,1,737,ADULT,0.437,0,0,0,0.0,0,0,0,2167.6385,0.6671,0.54,0.0003,30.82,1.0416666666666667
400,8d6cf4ad-9299-4ed3-908b-cf1fa9783f28,Mosquitoes,LivingAgent,9.573854,41.841476,1,279,PUPA,0.639,0,0,0,0.0,0,0,5,1506.4706,0.2397,0.34,0.0,25.84,4.166666666666667
500,b8387afc-7f58-4b48-b5c6-1614a3f62223,Mosquitoes,LivingAgent,9.606289,41.844523,1,156,PUPA,0.639,0,0,0,0.0,0,0,0,2415.1161,0.7193,0.66,0.0,30.57,5.208333333333333
100,46388441-053d-4d25-8154-452b50bb4bb2,Mosquitoes,LivingAgent,9.589992,41.842233,1,1470,ADULT,0.476,0,0,0,0.0,1,2,0,2076.2541,0.5331,0.42,0.0002,30.18,1.0416666666666667
400,24962932-b38a-44ac-96c2-9cc191af73fe,Mosquitoes,LivingAgent,9.613323,41.8499,1,206,ADULT,0.381,0,0,0,0.0,0,0,67,2091.6485,0.7592,0.71,0.0,26.47,4.166666666666667
